Model,SeqLen (T),# GPUs,GPU,MFU,HFU,MicroBatchSize,GradAccum,GlobalBatchSize,Throughput (S/s),Throughput (T/s),Throughput (T/s/GPU),GlobalBatchSize (T),Precision,MP Mode,Sharding Strategy,Activation Checkpointing,Activation CPUOffload,NumParams,Image
125m,4096,8,a100_80gb,46.08,46.08,16,2,256,231,947172,118396,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,126884352,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,32,h100_80gb,24.76,24.76,32,1,1024,3913,8014684,250458,2097152,amp_bf16,DEFAULT,FULL_SHARD,False,False,125311488,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,16,h100_80gb,25.1,25.1,32,1,512,1982,4061159,253822,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,125311488,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,8,h100_80gb,26.77,26.77,40,2,640,1057,2165641,270705,1310720,amp_bf16,DEFAULT,FULL_SHARD,False,False,125311488,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,8,a100_80gb,44.68,44.68,32,2,512,556,1139902,142487,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,125311488,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,8,a100_80gb,44.45,44.45,32,2,512,553,1133901,141737,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,125311488,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,1024,8,h100_80gb,26.23,26.23,64,2,1024,2356,2413517,301689,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,124525056,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,1024,8,a100_80gb,43.15,43.15,64,2,1024,1222,1251751,156468,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,124525056,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,512,8,a100_80gb,42.56,42.56,128,2,2048,2588,1325455,165681,1048576,amp_bf16,DEFAULT,FULL_SHARD,False,False,124131840,mosaicml/pytorch:2.1.0_cu121-nightly20230827-python3.10-ubuntu20.04
125m,2048,8,a100_40gb,-0.02,-0.02,-1,-64,512,-1,-2048,-256,1048576,bf16,PURE,FULL_SHARD,False,False,-1,mosaicml/pytorch:1.13.1_cu117-python3.10-ubuntu20.04
125m,2048,8,a100_40gb,-0.02,-0.02,-1,-64,512,-1,-2048,-256,1048576,bf16,PURE,FULL_SHARD,False,False,-1,mosaicml/pytorch:1.13.1_cu117-python3.10-ubuntu20.04
125m,2048,8,a100_40gb,6.79,6.79,8,2,128,84,173271,21658,262144,amp_bf16,PURE,FULL_SHARD,False,False,125311488,mosaicml/pytorch:1.13.1_cu117-python3.10-ubuntu20.04
