Model,SeqLen (T),# GPUs,GPU,MFU,HFU,MicroBatchSize,GradAccum,GlobalBatchSize,Throughput (S/s),Throughput (T/s),Throughput (T/s/GPU),GlobalBatchSize (T),Precision,MP Mode,Sharding Strategy,Activation Checkpointing,Activation CPUOffload,NumParams
350m,2048,8,a100_40gb,39.31,52.42,16,4,512,174,358147,44768,1048576,amp_bf16,PURE,FULL_SHARD,True,False,355985408
125m,2048,8,a100_40gb,35.6,47.47,26,3,624,443,908206,113525,1277952,amp_bf16,PURE,FULL_SHARD,True,False,125311488
125m,2048,8,a100_40gb,42.12,42.12,24,3,576,524,1074518,134314,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,42.21,42.21,24,3,576,525,1076846,134605,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,40.8,40.8,24,3,576,508,1040826,130103,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,32.74,32.74,24,3,576,407,835286,104410,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,35.46,47.28,24,3,576,441,904742,113092,1179648,amp_bf16,PURE,FULL_SHARD,True,False,125311488
125m,2048,8,a100_40gb,42.09,42.09,24,3,576,524,1073813,134226,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,41.89,41.89,24,3,576,521,1068638,133579,1179648,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,11.95,11.95,12,3,288,148,304881,38110,589824,amp_bf16,PURE,FULL_SHARD,False,False,125311488
125m,2048,8,a100_40gb,10.74,10.74,12,3,288,133,274018,34252,589824,amp_bf16,PURE,FULL_SHARD,False,False,125311488
